"RAZON SOCIAL","POTENCIAL UNO","NOMBRE COMERCIAL",RUC,CONSIGNATARIO,"POSICION ARANCELARIA","CODIGO COMPLEMENTARIO","CODIGO SUPLEMENTARIO","DESCRIPCION POSICION","DESCRIPCION DEL DESPACHO",MARCA,MODELO,REFRENDO,ITEM,DAU,"FECHA DESPACHO","FECHA EMBARQUE","FECHA LLEGADA","FECHA LIQUIDACION","FECHA PAGO","FECHA SALIDA ALMACEN",REGIMEN,"NUMERO MANIFIESTO",MANIFIESTO,"CODIGO DOCUMENTO TRANSPORTE","DOCUMENTO TRANSPORTE",ADUANA,"PAIS ORIGEN","PAIS PROCEDENCIA","PAIS EMBARQUE","PUERTO EMBARQUE","VIA TRANSPORTE",CONTENEDORES,DEPOSITO,"FOB U$S","FLETE U$S","SEGURO U$S","CIF U$S",FACTURA,"VALOR FACTURA U$S","BASE IMPONIBLE U$S","KGS NETO","KGS BRUTO",UNIDADES,"TIPO UNIDAD","PRECIO UNITARIO U$S","CANTIDAD COMERCIAL","UNIDAD COMERCIAL","PRECIO UNITARIO COMERCIAL U$S","TIPO UNIDAD NOMENCLADOR",ADVAL,MONEDA,EMBARCADOR,INCOTERM,"CODIGO LIBERACION","ESTADO MERCADERIA","CLASE MERCADERIA","PAIS DESTINO","TOTAL FOB U$S","TOTAL FLETE U$S","TOTAL SEGURO U$S","TOTAL CIF U$S","TOTAL KGS NETO","TOTAL KGS BRUTO","TOTAL BASE IMPONIBLE","TOTAL CANTIDAD BULTOS","TOTAL AJUSTES","TOTAL OTROS AJUSTES",CLASE,VERIFICADOR,"AGENTE AFIANZADO",NAVE,"AGENCIA TRANSPORTE","EMPRESA TRANSPORTE",AFORADOR,"FECHA AFORO","TIPO AFORO","ACTIVIDAD PRINCIPAL DEL IMPORTADOR","DIRECCION DEL IMPORTADOR","DIRECCION DEL CONSIGNATARIO",CONSOLIDADORA
"FERTISA AGIF C.L.",,,0993208086001,"FERTISA AGIF C.L.",3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA, PARA USO AGRICOLA","SIN MARCA","SIN MODELO",02820201000004535,1,,2020-01-02,2019-11-25,2019-12-31,2020-01-02,2020-01-03,2020-01-16,"IMPORTACION A CONSUMO",,CEC2019MAEU0494,CEC2019MAEU049401580000,587988467,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RULED-ST PETERSBURG (EX LENINGRAD)",MARITIMO,0.00,"05909025-CONTECON GUAYAQUIL S.A.","275,310.03","23,332.00",328.51,"298,970.53",,0.00,"298,970.53","1,102,000.00",0.00,"1,104,774.00","KILOGRAMO BRUTO",0.25,0.00,,0.00,"kg, Kilogramo",0.00,DOL,"FAVORITA L.P.",,,NUEVO,,ECUADOR,"275,310.03","23,332.00",328.51,"298,970.53","1,102,000.00",0.00,"298,970.53",0.00,0.00,0.00,,,"01901316: ORGANIZACION COMERCIAL Y ADUANERA MARIO COKA B. MACOBSA S.A.","MAERSK NIJMEGEN","MAERSK DEL ECUADOR C.A.","02907986-MAERSK DEL ECUADOR C.A.",,0000-00-00,"AFORO AUTOMATICO","5121-VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y D","LOTIZACION GELEFRENT SOLAR 5 Y 6 VIA DURAN BOLICHE KM 8",,
"ROGEL JIMENEZ JAIME ENRIQUE",,,1102305461001,"ROGEL JIMENEZ JAIME ENRIQUE",3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PERLADA, PARA USO AGRICOLA",FERTI,SN,10920201000006223,1,,2020-01-03,2020-01-02,2020-01-02,2020-01-03,2020-01-03,0000-00-00,"IMPORTACION A CONSUMO",,CEC202078320001,CEC20207832000124740000,,"LOJA MACARA",PERU,PERU,PERU,-,CARRETERA,0.00,,"5,100.01",375.00,51.00,"5,526.01",,0.00,"5,526.00","15,000.00",0.00,"15,046.88","KILOGRAMO BRUTO",0.34,0.00,,0.00,"kg, Kilogramo",0.00,DOL,"CERES PERU S.A",,,NUEVO,,ECUADOR,"8,670.02",750.00,86.70,"9,506.72","32,000.00",0.00,"9,506.70",0.00,0.00,0.00,,,"01904943: VISCARRA ESPINOZA FERNANDO RAMIRO",,"AGREDA FERNANDEZ SORAYA ALEXANDRA","04777832-AGREDA FERNANDEZ SORAYA ALEXANDRA",,0000-00-00,"AFORO AUTOMATICO",9993-OTROS,"LOJA / ZAPOTILLO / ZAPOTILLO / LOJA SN Y LAS PALMERAS",,
"SOLVESA ECUADOR S.A",,,0990839557001,"SOLVESA ECUADOR S.A",3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PRILADA, PERCLOROETILENO",ACRON,SMODELO,02820201000011053,1,,2020-01-06,2019-12-06,2020-01-05,2020-01-06,2020-01-07,2020-01-11,"IMPORTACION A CONSUMO",,CEC2020MAEU0007,CEC2020MAEU000701130000,969791831,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RULED-ST PETERSBURG (EX LENINGRAD)",MARITIMO,0.00,"05909025-CONTECON GUAYAQUIL S.A.","131,328.00","20,246.40",151.57,"151,725.97",,0.00,"151,725.97","547,200.00",0.00,"547,200.00","KILOGRAMO BRUTO",0.24,547.20,TM,240.00,"kg, Kilogramo",0.00,DOL,"ACRON SWITZERLAND AG",,,NUEVO,,ECUADOR,"131,328.00","20,246.40",151.57,"151,725.97","547,200.00",0.00,"151,725.97",0.00,0.00,0.00,,,"01777779: JIMENEZ QUIROZ BORIS LENIN","MAERSK NITEROI","MAERSK DEL ECUADOR C.A.","02907986-MAERSK DEL ECUADOR C.A.",,0000-00-00,"AFORO AUTOMATICO","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","CASUARINA 100 Y VIA A DAULE, GUAYAQUIL",,
"FERTISA AGIF C.L.",,,0993208086001,"FERTISA AGIF C.L.",3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA, PARA USO AGRICOLA","SIN MARCA","SIN MODELO,",02820201000011137,1,,2020-01-06,2019-12-06,2020-01-05,2020-01-06,2020-01-07,2020-01-23,"IMPORTACION A CONSUMO",,CEC2020MAEU0007,CEC2020MAEU000701110000,969777365,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RULED-ST PETERSBURG (EX LENINGRAD)",MARITIMO,0.00,"05909025-CONTECON GUAYAQUIL S.A.","275,310.03","23,332.00",328.51,"298,970.53",,0.00,"298,970.53","1,102,000.00",0.00,"1,104,774.00","KILOGRAMO BRUTO",0.25,"1,102.00",TM,249.83,"kg, Kilogramo",0.00,DOL,"FAVORITA L.P.",,,NUEVO,,ECUADOR,"275,310.03","23,332.00",328.51,"298,970.53","1,102,000.00",0.00,"298,970.53",0.00,0.00,0.00,,,"01901316: ORGANIZACION COMERCIAL Y ADUANERA MARIO COKA B. MACOBSA S.A.","MAERSK NITEROI","MAERSK DEL ECUADOR C.A.","02907986-MAERSK DEL ECUADOR C.A.",,0000-00-00,"AFORO AUTOMATICO","5121-VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y D","LOTIZACION GELEFRENT SOLAR 5 Y 6 VIA DURAN BOLICHE KM 8",,
"QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.",,,1790580202001,"QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.",3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA, UREA PRILLED",PHOSAGRO,"SIN MODELO",02820201000013244,1,,2020-01-06,2019-12-06,2020-01-05,2020-01-06,2020-01-07,2020-01-14,"IMPORTACION A CONSUMO",,CEC2020MAEU0007,CEC2020MAEU000701090000,588764711,"GUAYAQUIL MARITIMO",SWITZERLAND,"RUSSIAN FEDERATION","RUSSIAN FEDERATION","RULED-ST PETERSBURG (EX LENINGRAD)",MARITIMO,0.00,"05909025-CONTECON GUAYAQUIL S.A.","120,305.60","10,438.00",519.05,"131,262.66",,0.00,"131,262.66","493,000.00",0.00,"494,241.00","KILOGRAMO BRUTO",0.24,493.00,TM,244.03,"kg, Kilogramo",0.00,DOL,"PHOSAGRO TRADING SA",,,NUEVO,,ECUADOR,"120,305.60","10,438.00",519.05,"131,262.66","493,000.00",0.00,"131,262.66",0.00,0.00,0.00,,,"01777833: CORADUANAS","MAERSK NITEROI","MAERSK DEL ECUADOR C.A.","02907986-MAERSK DEL ECUADOR C.A.",,0000-00-00,"AFORO AUTOMATICO","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","AMAZONAS N35-43 Y JUAN PABLO SANZ",,
"FERTISA AGIF C.L.",,,0993208086001,"FERTISA AGIF C.L.",3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA, PARA USO AGRICOLA","SIN MARCA","SIN MODELO",02820201000020229,1,,2020-01-08,2019-12-07,2020-01-19,2020-01-08,2020-01-09,2020-01-24,"IMPORTACION A CONSUMO",,CEC202077890002,CEC20207789000200010000,1,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION",FINLAND,FINLAND,FIKTK-KOTKA,MARITIMO,0.00,"05909272-FERTISA,FERTILIZANTES,TERMINALES I SERVICIOS S.A.","681,842.19","181,500.00",894.60,"864,236.81",,0.00,"864,236.81","3,301,100.00",0.00,"3,301,100.00","KILOGRAMO BRUTO",0.21,"3,301.10",TM,206.55,"kg, Kilogramo",0.00,DOL,"FAVORITA L.P.",,,NUEVO,,ECUADOR,"681,842.19","181,500.00",894.60,"864,236.81","3,301,100.00",0.00,"864,236.81",0.00,0.00,0.00,,,"01901316: ORGANIZACION COMERCIAL Y ADUANERA MARIO COKA B. MACOBSA S.A.",SEALION,"HANSAMARITIME S.A.","02777789-HANSAMARITIME S.A.",,0000-00-00,"AFORO AUTOMATICO","5121-VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y D","LOTIZACION GELEFRENT SOLAR 5 Y 6 VIA DURAN BOLICHE KM 8",,
"SOLVESA ECUADOR S.A",,,0990839557001,"SOLVESA ECUADOR S.A",3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PRILADA, UREA PRILADA",SMARCA,SMODELO,02820201000032327,1,,2020-01-14,2019-12-07,2020-01-19,2020-01-14,2020-01-15,2020-01-21,"IMPORTACION A CONSUMO",,CEC202077890002,CEC20207789000200030000,2,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION",FINLAND,FINLAND,FIKTK-KOTKA,MARITIMO,0.00,"05909272-FERTISA,FERTILIZANTES,TERMINALES I SERVICIOS S.A.","118,893.50","30,250.00",149.14,"149,292.64",,0.00,"149,292.64","550,000.00",0.00,"550,000.00","KILOGRAMO BRUTO",0.22,550.00,TM,216.17,"kg, Kilogramo",0.00,DOL,"NITRON GROUP CORPORATION",,,NUEVO,,ECUADOR,"118,893.50","30,250.00",149.14,"149,292.64","550,000.00",0.00,"149,292.64",0.00,0.00,0.00,,,"01777779: JIMENEZ QUIROZ BORIS LENIN",SEALION,"HANSAMARITIME S.A.","02777789-HANSAMARITIME S.A.",,0000-00-00,"AFORO AUTOMATICO","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","CASUARINA 100 Y VIA A DAULE, GUAYAQUIL",,
"ACABADOS TEXTILES DEL ECUADOR S.A. ACATEXTIL",,,1792500621001,"ACABADOS TEXTILES DEL ECUADOR S.A. ACATEXTIL",3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA, HUCMENTANTE",ARTEXTIL,"SIN MODELO",07320201000041635,6,,2020-01-16,2020-01-10,2020-01-10,2020-01-16,2020-01-16,2020-01-16,"IMPORTACION A CONSUMO",,CEC202078360028,CEC20207836002800010000,,TULCAN,COLOMBIA,COLOMBIA,COLOMBIA,-,CARRETERA,0.00,,256.00,37.58,2.94,296.52,,0.00,296.52,400.00,0.00,400.00,"KILOGRAMO BRUTO",0.64,400.00,KG,0.64,"kg, Kilogramo",0.00,DOL,"ARTEXTIL SA",,,NUEVO,,ECUADOR,"20,132.01","1,247.51",213.76,"21,593.28","7,184.00",0.00,"21,593.28",0.00,0.00,0.00,,,"01904998: YEPEZ NARVAEZ MIGUEL RODRIGO",,"MORA CARRION EDGAR MANUEL","04777836-MORA CARRION EDGAR MANUEL",,0000-00-00,"AFORO AUTOMATICO","5131-VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VE","PARQUE INDUSTRIAL EL CARMEN SANGOLQUI CIUDAD: SIN CIUDAD",,
"FERTILIZANTES Y ABONOS PALACIOS MARQUEZ FERTIPALMA CIA LTDA",,,0790099176001,"FERTILIZANTES Y ABONOS PALACIOS MARQUEZ FERTIPALMA C LTDA",3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PRILLED 46.2 PORCIENTO NITROGEN, UREA PRILLED 46.2 PORCIENTO NITROGEN FERTILIZANTE FOR AGRICULTURE USE IN 1000 KG BIG BAGS","UNEX TRADIN GMBH","SIN MODELO",02820201000063983,1,,2020-01-24,2019-12-22,2020-01-24,2020-01-24,2020-01-27,2020-01-28,"IMPORTACION A CONSUMO",,CEC2020MAEU0090,CEC2020MAEU009000090000,969861633,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RULED-ST PETERSBURG (EX LENINGRAD)",MARITIMO,0.00,"05909025-CONTECON GUAYAQUIL S.A.","59,758.00","4,912.00",99.34,"64,769.34",,0.00,"64,769.34","223,000.00",0.00,"223,561.00","KILOGRAMO BRUTO",0.27,223.00,TM,267.97,"kg, Kilogramo",0.00,DOL,"UNEX TRADING GMBH",,,NUEVO,,ECUADOR,"59,758.00","4,912.00",99.34,"64,769.34","223,000.00",0.00,"64,769.34",0.00,0.00,0.00,,,"01900008: FMA FRANCISCO MOSQUERA AULESTIA CIA. LTDA.","LARS MAERSK","MAERSK DEL ECUADOR C.A.","02907986-MAERSK DEL ECUADOR C.A.",,0000-00-00,"AFORO AUTOMATICO","0112-CULTIVOS DE HORTALIZAS Y LEGUMBRES,ESPECIALIDADES HORTI","Ave. 25 de Junio Km 1.15 Via Pasaje-Machal",,
"QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.",,,1790580202001,"QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.",3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PRILLED, UREA PRILLED",PHOSAGRO,"SIN MODELO",02820201000065729,1,,2020-01-27,2019-12-22,2020-01-24,2020-01-27,2020-01-27,2020-01-29,"IMPORTACION A CONSUMO",,CEC2020MAEU0090,CEC2020MAEU009000070000,969832699,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RULED-ST PETERSBURG (EX LENINGRAD)",MARITIMO,0.00,"05909025-CONTECON GUAYAQUIL S.A.","141,536.00","12,280.00",610.65,"154,426.66",,0.00,"154,426.66","580,000.00",0.00,"581,460.00","KILOGRAMO BRUTO",0.24,580.00,TM,244.03,"kg, Kilogramo",0.00,DOL,"PHOSAGRO TRADING SA",,,NUEVO,,ECUADOR,"141,536.00","12,280.00",610.65,"154,426.66","580,000.00",0.00,"154,426.66",0.00,0.00,0.00,,,"01777833: CORADUANAS","LARS MAERSK","MAERSK DEL ECUADOR C.A.","02907986-MAERSK DEL ECUADOR C.A.",,0000-00-00,"AFORO AUTOMATICO","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","AMAZONAS N35-43 Y JUAN PABLO SANZ",,
