"RAZON SOCIAL","POTENCIAL UNO","NOMBRE COMERCIAL",RUC,CONSIGNATARIO,"POSICION ARANCELARIA","CODIGO COMPLEMENTARIO","CODIGO SUPLEMENTARIO","DESCRIPCION POSICION","DESCRIPCION DEL DESPACHO",MARCA,MODELO,REFRENDO,ITEM,DAU,"FECHA DESPACHO","FECHA EMBARQUE","FECHA LLEGADA","FECHA LIQUIDACION","FECHA PAGO","FECHA SALIDA ALMACEN",REGIMEN,"NUMERO MANIFIESTO",MANIFIESTO,"CODIGO DOCUMENTO TRANSPORTE","DOCUMENTO TRANSPORTE",ADUANA,"PAIS ORIGEN","PAIS PROCEDENCIA","PAIS EMBARQUE","PUERTO EMBARQUE","VIA TRANSPORTE",CONTENEDORES,DEPOSITO,"FOB U$S","FLETE U$S","SEGURO U$S","CIF U$S",FACTURA,"VALOR FACTURA U$S","BASE IMPONIBLE U$S","KGS NETO","KGS BRUTO",UNIDADES,"TIPO UNIDAD","PRECIO UNITARIO U$S","CANTIDAD COMERCIAL","UNIDAD COMERCIAL","PRECIO UNITARIO COMERCIAL U$S","TIPO UNIDAD NOMENCLADOR",ADVAL,MONEDA,EMBARCADOR,INCOTERM,"CODIGO LIBERACION","ESTADO MERCADERIA","CLASE MERCADERIA","PAIS DESTINO","TOTAL FOB U$S","TOTAL FLETE U$S","TOTAL SEGURO U$S","TOTAL CIF U$S","TOTAL KGS NETO","TOTAL KGS BRUTO","TOTAL BASE IMPONIBLE","TOTAL CANTIDAD BULTOS","TOTAL AJUSTES","TOTAL OTROS AJUSTES",CLASE,VERIFICADOR,"AGENTE AFIANZADO",NAVE,"AGENCIA TRANSPORTE","EMPRESA TRANSPORTE",AFORADOR,"FECHA AFORO","TIPO AFORO","ACTIVIDAD PRINCIPAL DEL IMPORTADOR","DIRECCION DEL IMPORTADOR","DIRECCION DEL CONSIGNATARIO",CONSOLIDADORA
"AGRIPAC S.A.",,,0990006687001,,3102.10.10.00,0000,0001,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PRILLED, UREA GRANULAR","SIN MARCA","SIN MODELO",02820241000043886,1,,2024-01-08,2023-11-20,2024-01-20,2024-01-08,2024-01-09,2024-01-26,"IMPORTACION A CONSUMO",,CEC202477890003,CEC20247789000300010000,4,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RUSSIAN FEDERATION",RUULU-UST-LUGA,MARITIMO,0.00,"05777783-STOREOCEAN S.A.","449,229.53",0.00,456.37,"449,685.91",I-23-0005726,"449,229.53","562,185.94","1,250,117.00",0.00,"1,250,117.00","KILOGRAMO BRUTO",0.36,"1,250.12",TM,359.35,"kg, Kilogramo",0.00,DOL,"NITRON GROUP LLC",CFR,"0640-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO IVA, APLICA TEXTO LEGAL # 4 ART. 55 LRTI  Reformado por el Art. 24 de la Ley Orgánica de Simplificación y Progresividad Tributaria (31-DIC-2019)",NUEVO,,ECUADOR,"2,371,931.75",0.00,"2,409.64","2,374,341.25","6,600,617.00",0.00,"2,968,341.50",0.00,0.00,0.00,,,"01902441: TORRES & TORRES AGENTES DE ADUANAS TTADAD C.A.","TARSUS M","02777789-HANSAMARITIME S.A.","02777789-HANSAMARITIME S.A.",,0000-00-00,"AFORO AUTOMATICO","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","CORDOVA 623 Y PADRE SOLANO, GUAYAQUIL",,
"AGRIPAC S.A.",,,0990006687001,,3102.10.10.00,0000,0001,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PRILLED, UREA GRANULAR","SIN MARCA","SIN MODELO",02820241000043886,2,,2024-01-08,2023-11-20,2024-01-20,2024-01-08,2024-01-09,2024-01-26,"IMPORTACION A CONSUMO",,CEC202477890003,CEC20247789000300010000,4,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RUSSIAN FEDERATION",RUULU-UST-LUGA,MARITIMO,0.00,"05777783-STOREOCEAN S.A.","1,922,702.12",0.00,"1,953.27","1,924,655.38",I-23-0005727,"1,922,702.12","2,406,155.50","5,350,500.00",0.00,"5,350,500.00","KILOGRAMO BRUTO",0.36,"5,350.50",TM,359.35,"kg, Kilogramo",0.00,DOL,"NITRON GROUP LLC",CFR,"0640-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO IVA, APLICA TEXTO LEGAL # 4 ART. 55 LRTI  Reformado por el Art. 24 de la Ley Orgánica de Simplificación y Progresividad Tributaria (31-DIC-2019)",NUEVO,,ECUADOR,,,,,,,,,,,,,"01902441: TORRES & TORRES AGENTES DE ADUANAS TTADAD C.A.","TARSUS M","02777789-HANSAMARITIME S.A.","02777789-HANSAMARITIME S.A.",,0000-00-00,"AFORO AUTOMATICO","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","CORDOVA 623 Y PADRE SOLANO, GUAYAQUIL",,
"PRECISAGRO S.A.",,,1792522005001,,3102.10.10.00,0000,0001,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PERLADA, UREA","SIN MARCA","SIN MODELO",02820241000087091,1,,2024-01-15,2023-11-20,2024-01-20,2024-01-15,2024-01-16,2024-01-31,"IMPORTACION A CONSUMO",,CEC202477890003,CEC20247789000300030000,7,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RUSSIAN FEDERATION",RUULU-UST-LUGA,MARITIMO,0.00,"05777783-STOREOCEAN S.A.","593,769.00",0.00,0.00,"593,769.00",G02-00047,"593,769.00","743,919.00","1,650,000.00",0.00,"1,650,000.00","KILOGRAMO BRUTO",0.36,"1,650.00",TM,359.86,"kg, Kilogramo",0.00,DOL,"GLOBAL FERTILIZER TRADING COMPANY LIMITED",CIF,"0640-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO IVA, APLICA TEXTO LEGAL # 4 ART. 55 LRTI  Reformado por el Art. 24 de la Ley Orgánica de Simplificación y Progresividad Tributaria (31-DIC-2019)",NUEVO,,ECUADOR,"593,769.00",0.00,0.00,"593,769.00","1,650,000.00",0.00,"743,919.00",0.00,0.00,0.00,,,"01902441: TORRES & TORRES AGENTES DE ADUANAS TTADAD C.A.","TARSUS M","02777789-HANSAMARITIME S.A.","02777789-HANSAMARITIME S.A.",,0000-00-00,"AFORO AUTOMATICO",9993-OTROS,"Sector Quitumbe, calle S31 y Quipu, conjunto AsociaciÃ³n de Ayuda Mutua para el Bienestar Humano No. Oe2-204 S30., GUAYAQUIL",,
"FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.",,,0991441336001,,3102.10.10.00,0000,0001,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA, PRILLED UREA IN BULK",NITRON,"SIN MODELO",02820241000088172,1,,2024-01-15,2023-11-20,2024-01-20,2024-01-15,2024-01-15,2024-01-26,"IMPORTACION A CONSUMO",,CEC202477890003,CEC20247789000300040000,6,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RUSSIAN FEDERATION",RUULU-UST-LUGA,MARITIMO,0.00,"05777783-STOREOCEAN S.A.","778,036.88",0.00,"1,366.48","779,403.31",I-23-0005728,"778,036.88","977,421.88","2,200,206.00",0.00,"2,200,206.00","KILOGRAMO BRUTO",0.35,"2,200,206.00",KG,0.35,"kg, Kilogramo",0.00,DOL,"NITRON GROUP LLC",CFR,"0640-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO IVA, APLICA TEXTO LEGAL # 4 ART. 55 LRTI  Reformado por el Art. 24 de la Ley Orgánica de Simplificación y Progresividad Tributaria (31-DIC-2019)",NUEVO,,ECUADOR,"778,036.88",0.00,"1,366.48","779,403.31","2,200,206.00",0.00,"977,421.88",0.00,0.00,0.00,,,"01777804: ORTEGA NOROÑA KLEBER MARCELO","TARSUS M","02777789-HANSAMARITIME S.A.","02777789-HANSAMARITIME S.A.",,0000-00-00,"AFORO AUTOMATICO","0140-ACTIVIDADES DE SERVICIOS AGRICOLAS Y GANADEROS,EXCEPTO","KM 16,5 VIA A DAULE",,
"FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.",,,0991441336001,,3102.10.10.00,0000,0001,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA, PRILLED UREA IN BULK A GRANEL",NITRON,"SIN MODELO",02820241000088177,1,,2024-01-15,2023-11-11,2024-01-20,2024-01-15,2024-01-15,2024-01-26,"IMPORTACION A CONSUMO",,CEC202477890003,CEC20247789000300050000,3D,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RUSSIAN FEDERATION",RUULU-UST-LUGA,MARITIMO,0.00,"05777783-STOREOCEAN S.A.","389,018.41",0.00,683.24,"389,701.66",I-23-0005729,"389,018.41","488,710.94","1,100,103.00",0.00,"1,100,103.00","KILOGRAMO BRUTO",0.35,"1,100,103.00",KG,0.35,"kg, Kilogramo",0.00,DOL,"NITRON GROUP LLC",CFR,"0640-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO IVA, APLICA TEXTO LEGAL # 4 ART. 55 LRTI  Reformado por el Art. 24 de la Ley Orgánica de Simplificación y Progresividad Tributaria (31-DIC-2019)",NUEVO,,ECUADOR,"389,018.41",0.00,683.24,"389,701.66","1,100,103.00",0.00,"488,710.94",0.00,0.00,0.00,,,"01777804: ORTEGA NOROÑA KLEBER MARCELO","TARSUS M","02777789-HANSAMARITIME S.A.","02777789-HANSAMARITIME S.A.","MAPONCE-PONCE GARCIA MARIA ELENA",0000-00-00,"AFORO DOCUMENTAL","0140-ACTIVIDADES DE SERVICIOS AGRICOLAS Y GANADEROS,EXCEPTO","KM 16,5 VIA A DAULE",,
"BRENNTAG ECUADOR S.A.",,,0990005087001,"BRENNTAG ECUADOR S.A.",3102.10.10.00,0000,0001,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA GRANULAR, UREA GRANULAR CON UN PORCENTAJE DE NITRoGENO DEL 46 USADO EN EL SECTOR AGRiCOLA","JOINT STOCK COMPANY AMMONI","SIN MODELO",02820241000122665,1,,2024-01-19,2023-10-17,2024-01-24,2024-02-29,2024-02-01,2024-01-28,"IMPORTACION A CONSUMO",,CEC202477900001,CEC20247790000100030000,6,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RULED-ST PETERSBURG (EX LENINGRAD)",MARITIMO,0.00,"05904088-QC TERMINALES ECUADOR S. A. QCTE","1,116,126.00",0.00,"11,161.26","1,127,287.25",45673,"1,119,487.25","1,354,087.25","2,700,000.00",0.00,"2,700,000.00","KILOGRAMO BRUTO",0.41,"2,700.00",TM,413.38,"kg, Kilogramo",0.00,DOL,,CFR,"0640-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO IVA, APLICA TEXTO LEGAL # 4 ART. 55 LRTI  Reformado por el Art. 24 de la Ley Orgánica de Simplificación y Progresividad Tributaria (31-DIC-2019)",NUEVO,,ECUADOR,"1,119,487.25",0.00,"11,162.26","1,130,649.50","2,706,760.00",0.00,"1,357,450.50",0.00,0.00,0.00,,,"01902441: TORRES & TORRES AGENTES DE ADUANAS TTADAD C.A.",BELASITZA,,"02777790-ANDINAVE S.A.",,0000-00-00,"AFORO AUTOMATICO","9309-OTRAS ACTIVIDADES DE SERVICIO N.C.P.","VIA A DAULE KM 9 5 AV PRINCIPAL S N",,
"BRENNTAG ECUADOR S.A.",,,0990005087001,"BRENNTAG ECUADOR S.A.",3102.10.10.00,0000,0001,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA GRANULAR, UREA GRANULAR CON UN PORCENTAJE DE NITRoGENO DEL 46 USADO EN EL SECTO","JOINT STOCK COMPANY AMMONI","SIN MODELO",02820241000122665,2,,2024-01-19,2023-10-17,2024-01-24,2024-02-29,2024-02-01,2024-01-28,"IMPORTACION A CONSUMO",,CEC202477900001,CEC20247790000100030000,6,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RULED-ST PETERSBURG (EX LENINGRAD)",MARITIMO,0.00,"05904088-QC TERMINALES ECUADOR S. A. QCTE","3,361.29",0.00,1.00,"3,362.29",45673,"1,119,487.25","3,363.29","6,760.00",0.00,"6,760.00","KILOGRAMO BRUTO",0.50,6.76,TM,497.23,"kg, Kilogramo",0.00,DOL,,CFR,"0640-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO IVA, APLICA TEXTO LEGAL # 4 ART. 55 LRTI  Reformado por el Art. 24 de la Ley Orgánica de Simplificación y Progresividad Tributaria (31-DIC-2019)",NUEVO,,ECUADOR,,,,,,,,,,,,,"01902441: TORRES & TORRES AGENTES DE ADUANAS TTADAD C.A.",BELASITZA,,"02777790-ANDINAVE S.A.",,0000-00-00,"AFORO AUTOMATICO","9309-OTRAS ACTIVIDADES DE SERVICIO N.C.P.","VIA A DAULE KM 9 5 AV PRINCIPAL S N",,
"FERTISA AGIF C.L.",,,0993208086001,"FERTISA AGIF C.L.",3102.10.10.00,0000,0001,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","PRILLED UREA IN BULK, IN BULK",NITRON,"SIN MODELO",02820241000259303,1,,2024-02-06,2023-12-15,2024-02-14,2024-03-28,0000-00-00,2024-02-21,"IMPORTACION A CONSUMO",,CEC202477890008,CEC20247789000800020000,8,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION",FINLAND,FINLAND,FIKTK-KOTKA,MARITIMO,0.00,"05909272-FERTISA, FERTILIZANTES, TERMINALES I SERVICIOS C.L","1,074,920.00",0.00,"1,570.63","1,076,490.62",I-23-0006375,"1,074,920.00","1,461,490.62","3,850,000.00",0.00,"3,850,000.00","KILOGRAMO BRUTO",0.28,"3,850.00",TM,279.20,"kg, Kilogramo",0.00,DOL,"NITRON GROUP LLC",CFR,"0640-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO IVA, APLICA TEXTO LEGAL # 4 ART. 55 LRTI  Reformado por el Art. 24 de la Ley Orgánica de Simplificación y Progresividad Tributaria (31-DIC-2019)",NUEVO,,ECUADOR,"1,074,920.00",0.00,"1,570.63","1,076,490.62","3,850,000.00",0.00,"1,461,490.62",0.00,0.00,0.00,,,"01901316: ORGANIZACION COMERCIAL Y ADUANERA MARIO COKA B. MACOBSA S.A.","GENCO PYRENEES","02777789-HANSAMARITIME S.A.","02777789-HANSAMARITIME S.A.","MAROSAL-ROSALES PRADO MAYDA MATILDE",0000-00-00,"AFORO FISICO INTRUSIVO","5121-VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y D","LOTIZACION GELEFRENT SOLAR 5 Y 6 VIA DURAN BOLICHE KM 8",,
"FERTISA AGIF C.L.",,,0993208086001,"FERTISA AGIF C.L.",3102.10.10.00,0000,0001,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","GRANULAR UREA IN BULK, IN BULK","SIN MARCA","SIN MODELO",02820241000260100,1,,2024-02-06,2023-12-15,2024-02-14,2024-03-28,0000-00-00,2024-02-21,"IMPORTACION A CONSUMO",,CEC202477890008,CEC20247789000800010000,2,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION",FINLAND,FINLAND,FIKTK-KOTKA,MARITIMO,0.00,"05909272-FERTISA, FERTILIZANTES, TERMINALES I SERVICIOS C.L","478,224.88",0.00,701.41,"478,926.31",I-23-0006374,"478,224.88","644,019.31","1,650,930.00",0.00,"1,650,930.00","KILOGRAMO BRUTO",0.29,"1,650.93",TM,289.67,"kg, Kilogramo",0.00,DOL,"NITRON GROUP LLC",CFR,"0640-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO IVA, APLICA TEXTO LEGAL # 4 ART. 55 LRTI  Reformado por el Art. 24 de la Ley Orgánica de Simplificación y Progresividad Tributaria (31-DIC-2019)",NUEVO,,ECUADOR,"701,524.88",0.00,"1,053.37","702,578.25","2,350,930.00",0.00,"937,671.25",0.00,0.00,0.00,,,"01901316: ORGANIZACION COMERCIAL Y ADUANERA MARIO COKA B. MACOBSA S.A.","GENCO PYRENEES","02777789-HANSAMARITIME S.A.","02777789-HANSAMARITIME S.A.","LVELEZG-VELEZ GARCIA LORENA HAYDEE",0000-00-00,"AFORO FISICO INTRUSIVO","5121-VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y D","LOTIZACION GELEFRENT SOLAR 5 Y 6 VIA DURAN BOLICHE KM 8",,
"FERTISA AGIF C.L.",,,0993208086001,"FERTISA AGIF C.L.",3102.10.10.00,0000,0001,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","GRANULAR UREA IN BULK, IN BULK","SIN MARCA","SIN MODELO",02820241000260100,2,,2024-02-06,2023-12-15,2024-02-14,2024-03-28,0000-00-00,2024-02-21,"IMPORTACION A CONSUMO",,CEC202477890008,CEC20247789000800010000,2,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION",FINLAND,FINLAND,FIKTK-KOTKA,MARITIMO,0.00,"05909272-FERTISA, FERTILIZANTES, TERMINALES I SERVICIOS C.L","223,300.00",0.00,351.96,"223,651.95",I-24-0000168,"223,300.00","293,651.97","700,000.00",0.00,"700,000.00","KILOGRAMO BRUTO",0.32,700.00,TM,319.00,"kg, Kilogramo",0.00,DOL,"NITRON GROUP LLC",DAP,"0640-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO IVA, APLICA TEXTO LEGAL # 4 ART. 55 LRTI  Reformado por el Art. 24 de la Ley Orgánica de Simplificación y Progresividad Tributaria (31-DIC-2019)",NUEVO,,ECUADOR,,,,,,,,,,,,,"01901316: ORGANIZACION COMERCIAL Y ADUANERA MARIO COKA B. MACOBSA S.A.","GENCO PYRENEES","02777789-HANSAMARITIME S.A.","02777789-HANSAMARITIME S.A.","LVELEZG-VELEZ GARCIA LORENA HAYDEE",0000-00-00,"AFORO FISICO INTRUSIVO","5121-VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y D","LOTIZACION GELEFRENT SOLAR 5 Y 6 VIA DURAN BOLICHE KM 8",,
